DATAFLOW,SPECIFICATION: Spécification,FREQ: Fréquence,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-11,-5.96594064203619,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2023-12,5.1256706472919,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2024-01,-6.2089330554281,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2024-02,-7.82085882597271,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2024-03,-4.32719213885106,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2024-04,,,,SL02: Définitions : Production dans la construction,,l: Non disponible,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-01,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-02,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-03,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-04,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-05,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-06,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-07,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-08,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-09,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-10,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-11,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2020-12,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-01,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-02,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-03,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-04,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-05,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-06,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-07,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
LU1:DF_E1100(1.0),"L04: Emploi, chômage",M: Mensuelle,2021-08,,,,"L04: Variations annuelles en %, sauf mention contraire. Les données des trois derniers mois sont des estimations, corrigées des variations saisonnières (cvs).  Sources: Inspection Générale de la Sécurité Sociale (IGSS) et Agence pour le Développement de l'Emploi (ADEM).",,,1: Un
